,Agriculture and Farming,Architecture and Building,British Colonialism,Cemeteries and Burial Practices,Daily Life and Occupations,Education,Family and Social Structures,Fashion and Dress,Folk Festivals and Celebrations,Food and Diet,Gambling and Opium,Geography and Topography,Harbor and Waterways,Military and Naval Defenses,Missionary Work,Photography and Imaging,Plague and Disease,Prisoners and Punishment,Religion (Buddhism and Ancestor Worship),River Dwellers (Tankia),Social Classes and Customs,Tea Production and Trade,Trade and Commerce,Transportation,War and Conflict
0,1000.0,-0.00013588125875685364,1000.0,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9998651312198,1000.0,1000.0,1000.0,999.9999871260998,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1,1000.0,1000.0,-6.377172394422814e-05,1000.0,999.9999991655466,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,-8.04720457381336e-06,1000.0,1000.0,1000.0,999.9999887951717,1000.0,1000.0,999.9999996423941,1000.0,1000.0,1000.0,0.0
2,1000.0,-4.386526416055858e-05,999.9999998807762,1000.0,999.999999821197,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,-0.0012974223354831338,1000.0,999.9999538701486,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-7.152119110287458e-07
3,1000.0,-0.0004085279651917517,-0.000774947926402092,1000.0,-0.0014929441967979074,1000.0,999.9999992251743,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,999.9864372787997,1000.0,1000.0,-0.06346073001623154,999.9999999403881,1000.0,1000.0,999.9996505580784,1000.0,1000.0,1000.0,-1.1922384146600962e-07
4,1000.0,999.9999985099658,1000.0,1000.0,999.9964263208676,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-2.3363285436062142e-05,1000.0,1000.0,999.9999973775748,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999986291796,0.0
5,1000.0,1000.0,-4.2320612010371406e-06,1000.0,999.9999904040496,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999991059051,999.9999995827733,-9.53790731728077e-07,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,-0.001145126880146563,0.0
6,1000.0,1000.0,999.9999998807762,1000.0,999.9999352158266,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-3.361821291036904e-05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9997813042282,1000.0,1000.0,999.9999999403881,-5.961192073300481e-08
7,1000.0,1000.0,-1.3887565728509799e-05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,-1.2039286048093345e-05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9994994840818,0.0
8,1000.0,1000.0,999.999997317984,1000.0,999.9999999403881,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999997615523,999.9999998807762,-1.9671342670335434e-06,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999403881,1000.0,1000.0,999.9999999403881,-1.1922384146600962e-07
9,1000.0,999.9435861334205,999.9999999403881,1000.0,-0.00011442196409916505,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999963044581,999.9999999403881,-6.556119274137018e-07,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999886163732,1000.0,-1.1922384146600962e-07
