Agriculture and Farming,Architecture and Building,British Colonialism,Cemeteries and Burial Practices,Daily Life and Occupations,Education,Family and Social Structures,Fashion and Dress,Folk Festivals and Celebrations,Food and Diet,Gambling and Opium,Geography and Topography,Harbor and Waterways,Military and Naval Defenses,Missionary Work,Photography and Imaging,Plague and Disease,Prisoners and Punishment,Religion (Buddhism and Ancestor Worship),River Dwellers (Tankia),Social Classes and Customs,Tea Production and Trade,Trade and Commerce,Transportation,War and Conflict
0.0,0.9993429045157998,0.999998569577201,0.0,0.9999593529431167,0.0,0.0,0.0,0.0,0.0,0.0,0.9999934438270707,0.9999998807761656,0.0,0.0,4.410745809479977e-06,0.0,0.0,0.0,0.0,0.5156192591073966,0.0,0.9999941591956986,0.999998092420356,0.0
0.0,0.9999077445529989,0.999963999784549,0.0,0.99672661552301,0.0,1.1922383436058226e-07,1.0370469567755336e-05,0.0,0.0,0.0,0.9999995231047478,0.9999998807761656,0.0008834988694115253,4.589106736996307e-05,0.0,0.0,0.0,2.384476545103098e-07,0.0,0.0001639850514463248,0.0,0.9988834784811071,0.9999746102424983,3.5763732452176455e-06
0.0,0.9979804887348378,1.3112231088685533e-06,0.0,0.9999998807761656,0.0,0.9946766311256505,0.0,0.0,0.0,0.0,0.9802790598779924,1.0,0.0,0.0,8.940606726626221e-06,0.0,0.0,0.0,0.9999979733108904,0.9999830718984778,0.0,0.9999928475132261,0.9999792591684112,0.0
0.0,0.9988475570732832,0.7121939307474322,0.0,0.9999885568367871,0.0,2.384100639796216e-06,0.00018841149160564452,0.0,0.0,3.57605976830655e-07,4.053372747447881e-06,0.9999991655469742,0.0,2.384476545103098e-07,0.001098916693318741,0.0,0.0,0.0,0.3775307268530631,0.9999749679341086,0.0,0.9996251306682612,0.9976399396754007,0.0
0.0,1.0,3.0992980275534876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999432586246728,0.0,4.768952521772007e-07,0.0,1.1922383436058226e-07,0.0,0.0,2.014498649693941e-05,0.0,2.384476545103098e-07,0.0,6.925914457822646e-05,0.0,0.0
0.9999998807761656,0.9999775905945001,2.2649496075333175e-06,0.0,0.9999974967344724,0.0,1.1922383436058226e-07,0.0,0.0,3.57605976830655e-07,0.0,1.0,0.0,1.4304226853001367e-06,1.1922383436058226e-07,1.1922383436058226e-07,0.0,0.0,0.0,0.0,4.386479683737843e-05,1.6689054689322802e-06,3.6956766884532755e-06,1.1922383436058226e-07,0.0
0.0,0.9999984503497855,0.9995824817932913,0.0,0.9999997615523455,0.0,5.960258064874324e-07,0.9992324386464195,0.0,0.0,0.0,5.125661624805211e-06,0.0,0.0,1.1922383436058226e-07,2.503265527642462e-06,0.0,0.0,0.0,0.0,0.9999299070160224,0.0,0.9999998807761656,1.549650214482945e-06,0.0
0.0,0.9999997615523455,1.1922383436058226e-07,0.0,2.384476545103098e-07,0.0,0.9999148950210192,8.940606726626221e-06,0.0,0.0,0.0,2.384476545103098e-07,0.0,0.0,0.0,0.0010571619025840917,0.0,0.0,0.9999908211141867,0.0,0.9525742896170473,0.0,0.0,0.0,0.0
0.0,0.9999946359824371,2.384476545103098e-07,0.0,0.0,0.0,0.0,2.384476545103098e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030602371460131117,0.0,0.0,0.999998569577201,0.0,3.74298886297586e-05,0.0,0.0,0.0,0.0
0.0,0.9999996423941084,0.987179735821303,0.0,0.0006304307349400684,0.9999958275089476,3.57605976830655e-07,1.8000269730311658e-05,0.0,0.0,0.0,7.30711258225547e-05,0.0,0.0,8.344964695150558e-06,3.5763732452176455e-06,0.0,4.291615254836678e-06,0.0,0.0,0.9999672161419587,0.0,1.1922383436058226e-07,0.0,0.0
