,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
135,7,3,15,Photography and Imaging,"I am sure it will not diminish your interest in the scene before us should I state how difficult it is to photograph a dark, narrow, crowded thoroughfare in Canton.",0,Street Photography Challenges
136,7,3,15,Photography and Imaging,"Before finding this street, which is more open and better lighted than most streets, I had made three different unsuccessful attempts on different days to obtain a street scene.",0,Street Photography Challenges
137,7,3,15,Photography and Imaging,"I had endeavored to hire policemen to stop, for a few moments only, the passing throng, until I could set my camera for a time exposure, as all streets are too dark for instantaneous work.",0,Street Photography Challenges
138,7,3,15,Photography and Imaging,"In this place I found an American Mission reading-room, from the roof of which I reached the bridge on which we stand, where some light penetrates into the street below.",0,Street Photography Challenges
400,18,5,15,Photography and Imaging,"It is quite plain that here, as usual, the people are watching the operator; but the picture-making process is not altogether strange to them.",2,Human Response to Photography
401,18,5,15,Photography and Imaging,"There are at least five or six well-equipped photographic galleries in this street, all belonging to Chinamen and well supplied with the latest appurtenances of the art.",0,Street Photography Challenges
880,39,2,15,Photography and Imaging,"Before we had reached a considerable elevation the rabble following had been increased by a contingent from the town, a more belligerent element.",2,Human Response to Photography
881,39,2,15,Photography and Imaging,No sooner was my camera placed for this view than several small stones fell 'around us; it was not easy to ascertain the individuals throwing them.,2,Human Response to Photography
882,39,2,15,Photography and Imaging,Childs stood near with a heavy stone in each hand and held them in check until this stereograph was hurriedly taken.,2,Human Response to Photography
883,39,2,15,Photography and Imaging,"During this time a heavy clod from some one in the rear of the crowd landed on the camera, but did no serious damage.",0,Street Photography Challenges
1444,67,2,15,Photography and Imaging,This meek and bland-looking old man who sits before you was at this time the talk of the world—would he be allowed to land at Tien-tsin?,1,Portraiture of Public Figures
1445,67,2,15,Photography and Imaging,He occupied the Viceroy's Yamen across the river outside the walled city (see map northeast of walled city).,1,Portraiture of Public Figures
1446,67,2,15,Photography and Imaging,"Through the courtesy of an American doctor who desired a photograph of the ex-Viceroy and who had some acquaintance with Dr. Parks, his medical adviser, I visited the Yamen.",1,Portraiture of Public Figures
1447,67,2,15,Photography and Imaging,"His Excellency being engaged with important matters of state, kindly consented to sit for us on the following day at a fixed hour.",1,Portraiture of Public Figures
1448,67,2,15,Photography and Imaging,"At the hour appointed we were met by the genial Dr. Parks, who, as soon as I had chosen a well-lighted part of this court in the Yamen, had servants bring out this finely inlaid stand and the chair in which he sits.",1,Portraiture of Public Figures
1449,67,2,15,Photography and Imaging,"When cameras were placed in position and everything in perfect readiness, his chair-bearers were notified and he was brought from his rooms in his official chair and assisted by his attendants to the chair in which you see him.",1,Portraiture of Public Figures
1450,67,2,15,Photography and Imaging,He greeted us with a pleasant smile and spoke to us freely through Dr. Parks as interpreter.,2,Human Response to Photography
1451,67,2,15,Photography and Imaging,His natural simplicity and the entire absence of affected importance was quite fascinating; kingcraft is nearly extinct; the time when a sovereign could make his subject revere him as a demigod belongs to the past.,1,Portraiture of Public Figures
1452,67,2,15,Photography and Imaging,A truly great man has no occasion to pretend greatness; only those who are not great find it necessary to resort to affectation.,2,Human Response to Photography
1453,67,2,15,Photography and Imaging,Neither Earl Li's great wealth nor his great attainments have in any degree left a trace of self-importance in his manner.,1,Portraiture of Public Figures
1454,67,2,15,Photography and Imaging,"When I asked Dr. Parks if he could remove the cap of his Excellency for one stereograph, the doctor explained to him and removed the cap.",1,Portraiture of Public Figures
1455,67,2,15,Photography and Imaging,"This caused Earl Li to smile as though he would have said: ""What can they want with my bald pate?""",2,Human Response to Photography
1456,67,2,15,Photography and Imaging,"Even that fine blackwood table, inlaid with mother-of-pearl, upon which his arm rests, is worth noticing; this style of furniture is much used by the wealthy.",1,Portraiture of Public Figures
1477,67,15,15,Photography and Imaging,When we had finished our stereographs from this position we asked Dr. Parks that His Excellency might be carried through the open court into bright sunlight in order that we might obtain a view of him in his official chair.,1,Portraiture of Public Figures
1478,67,15,15,Photography and Imaging,"This was done, and as we pressed the bulb and lifted our hats, the venerable statesman smiled acknowledgments and was borne to his spacious rooms within the Yamen.",1,Portraiture of Public Figures
2092,97,6,15,Photography and Imaging,While Mr. Conger obligingly halted for a moment he told me that if I could get a stereograph of Prince Ching I would be scoring a great success.,1,Portraiture of Public Figures
2093,97,6,15,Photography and Imaging,Now you may meet him whose picture Mr. Conger thought so desirable and so difficult to obtain.,1,Portraiture of Public Figures
2107,98,3,15,Photography and Imaging,"351 The correspondent asked for permission to speak with his excellency for a few minutes; this was readily granted, and the weather being chilly, we were asked to accompany him to a reception-room, where tea was at once served to us.",1,Portraiture of Public Figures
2108,98,3,15,Photography and Imaging,"I took along with me for his inspection a series of stereoscopic photographs, that he might understand the kind of picture I wished to make of him.",1,Portraiture of Public Figures
2109,98,3,15,Photography and Imaging,"He seemed almost impatient to get hold of the stereoscope and stereographs, but the correspondent had him immeshed in his catechism for a time.",2,Human Response to Photography
2110,98,3,15,Photography and Imaging,"At length he again glanced inquisitively toward the stereoscope, when I advanced and adjusted it to his eyes and passed a number of stereographs through it.",2,Human Response to Photography
2111,98,3,15,Photography and Imaging,with the realistic effect; they were the first stereoscopic photographs he had ever seen; he never wearied and scarcely withdrew his head from the hood of the stereoscope till all the views had been passed through.,2,Human Response to Photography
2131,100,2,15,Photography and Imaging,The ten foreign ministers are emerging from the assembly-room at the end of a morning session and find themselves confronted by two cameras.,1,Portraiture of Public Figures
2132,100,2,15,Photography and Imaging,"Major Conger who seemed to enjoy an esteemed seniority among the ministers and with whom a previous arrangement had been made for this stereograph, addressed them somewhat as follows:",1,Portraiture of Public Figures
2133,100,3,15,Photography and Imaging,"This time, however, by a gentleman from New York who represents a house that does magnificent photographic work, and if you will halt for a moment he will possibly send us each a fine photograph;",1,Portraiture of Public Figures
2134,100,3,15,Photography and Imaging,"""As you like,"" was the reply, ""except, do not try to look pretty"";",2,Human Response to Photography
2135,100,3,15,Photography and Imaging,"when some member in sotto voce jocularly rejoined: ""We have enough on hand without undertaking greater tasks.""",2,Human Response to Photography
