,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
869,38,3,9,Food and Diet,"The Encyclopædia Britannica places it second to wheat, but I refuse to accept that so-called high authority on any statement so obviously erroneous.",0,Food Security and Access
870,38,3,9,Food and Diet,"Europe and the Americas are the chief wheat-eating countries of the world, and China alone has a greater population than all;",0,Food Security and Access
1406,65,3,9,Food and Diet,"Among the upper class a family at a meal would present a different appearance; there would be fine dress, fine furniture and fine food after its order.",1,Cultural Foodways
1407,65,3,9,Food and Diet,"Judged by some writers, the Chinese have been placed next to the French as cooks, and particularly as culinary economists.",1,Cultural Foodways
1408,65,3,9,Food and Diet,"Probably this denotes wisdom more than it does scarcity, for in Western lands also we often find the healthiest and most robust among the plain livers.",2,Responses to Food Scarcity
1409,65,3,9,Food and Diet,"In these days when the enlightened nations, so-called, are studying the best means of feeding the greatest number at the smallest cost, it is interesting to learn an undoubted fact that it is possible in China in ordinary times to furnish an abundance of food of wholesome quality at a cost of two cents a day for each adult person.",0,Food Security and Access
1410,65,3,9,Food and Diet,"Nor is this the minimum, for it is claimed by eminent authorities that during famines great numbers have been maintained on one and one-half cents a day.",2,Responses to Food Scarcity
1411,65,3,9,Food and Diet,"Before us is a family of six, and I doubt whether the daily expense of that family exceeds ten cents.",0,Food Security and Access
1492,67,20,9,Food and Diet,"Things were a little uncomfortable when so little food could be bought, but when my last penny was gone a famine seemed near at hand.",2,Responses to Food Scarcity
1493,67,20,9,Food and Diet,"I don't mind missing a few meals, but a fast of a few days makes unpleasant cavities about one's anatomy.",2,Responses to Food Scarcity
1494,67,20,9,Food and Diet,"I did, however, make a pretense of dropping in casually upon the cook of the U. S. Marines to ask him if he could spare a little rice.",2,Responses to Food Scarcity
1495,67,20,9,Food and Diet,"He pointed to a small starch-box on the floor half filled with rice and clay and straw, saying at the same time, “That's good rice if you only wash it enough.""",2,Responses to Food Scarcity
1496,67,20,9,Food and Diet,"I carried it off quite thankfully, and, sure enough, when washed in five or six waters, it assumed a normal white, and I feasted several days upon this, seasoned with a pinch of salt.",2,Responses to Food Scarcity
1497,67,20,9,Food and Diet,"One day during this period of scarcity, while on the street, I saw a potato drop from a passing commissary wagon.",2,Responses to Food Scarcity
1498,67,20,9,Food and Diet,"With these I returned to my room in a mood of triumphant forage; 1 pared, sliced and boiled them together in a small tin pot on my spirit lamp.",2,Responses to Food Scarcity
1499,67,20,9,Food and Diet,I seasoned with salt and a small portion of rancid oleomargarine left in a tin which had been opened two months before.,2,Responses to Food Scarcity
1500,67,20,9,Food and Diet,"This veritable feast had predisposed me to potatoes, and on another occasion, having seen a quantity of fresh potato parings thrown out in a yard near a street, I decided to return after night-fall to secure them.",2,Responses to Food Scarcity
1501,67,20,9,Food and Diet,"When night came on, taking a quantity of matches in my pocket to enable me to find the exact spot, I walked back one mile to obtain this tempting prize of potato parings; but on reaching the place a number of officers were seated near by and my pride defeated my plan to secure another feast, for I could not take them in the presence of the officers.",2,Responses to Food Scarcity
1502,67,20,9,Food and Diet,"This state of scarcity continued until one day an American soldier came to me, all his pockets sagging with syce (bars of silver), and asked me to buy.",2,Responses to Food Scarcity
1503,67,20,9,Food and Diet,"The swap"" was promptly consunimated, and I had one hundred and fifty dollars worth of silver bullion, that is, about twenty pounds.",2,Responses to Food Scarcity
1504,67,20,9,Food and Diet,"This relieved the money market and in some measure the fast, for soon the natives began to return to the city and to the settlement.",2,Responses to Food Scarcity
1505,67,20,9,Food and Diet,"I formed many pleasant acquaintances among these men and officers; sometimes giving accommodation to them in my room, and in turn they would accompany me in my outings with the camera, rendering valuable assistance.",1,Cultural Foodways
1506,67,20,9,Food and Diet,Through these generous-hearted boys I obtained many war-souvenirs and enjoyed many acts of courtesy; but we cannot go further into details.,1,Cultural Foodways
