,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
17,1,7,20,Social Classes and Customs,"On the roof of this little house directly before us, in which John ""makee washee, washee,"" we see squatted three coolies in the characteristic position of the lower classes, not only of China, but of many other Oriental countries.",0,Social Structures and Inequality
18,1,7,20,Social Classes and Customs,"If the classification of men were made on the same plan as that of birds by ornithologists, these fellows would be styled perchers; for, whether eating, smoking, resting, or in social confab, they are always in this couchant and ungraceful pose.",0,Social Structures and Inequality
59,2,9,20,Social Classes and Customs,"I do not now remember whether his back presentation was from choice or necessity, because sometimes the lower classes can be induced to present their backs to the camera when vast sums of money would not induce them to face that dire instrument of evil, believing that when their faces are photographed a part of their identity is forever lost to them, and this becomes a serious matter in their ancestral worship.",1,Culture and Traditions
93,4,4,20,Social Classes and Customs,Most travellers and tourists who come to Canton seldom spend more than two or three days in visiting the various places of interest.,1,Culture and Traditions
94,4,4,20,Social Classes and Customs,"There is so much that is repellent besides the exorbitant prices of poor hotels that a single day may satisfy the sightseer; naturally, therefore, there is a set number of places to be visited in a limited time, and one of these places is the flower-boats.",1,Culture and Traditions
95,4,5,20,Social Classes and Customs,"These boats cost from five hundred to a thousand dollars, and are generally owned by the men in charge of them.",0,Social Structures and Inequality
96,4,5,20,Social Classes and Customs,"At night these boats are illuminated brilliantly with lamps and lanterns, and patrons come and go by boats and along those projecting bows.",1,Culture and Traditions
97,4,5,20,Social Classes and Customs,"Then they are not safe places to visit unless accompanied by a guide; but during the day they are vacated except by the owners and their families whom we see engaged in their daily routine of putting their boats in order for another night's round of feasting, gambling and dissipation.",1,Culture and Traditions
98,4,5,20,Social Classes and Customs,"A little beyond, a dame with her back toward us is delivering the morning gossip to her neighbors on the next boat, while her liege by her side, with ""turned-up pantaloons,"" is on daily avocations bent.",1,Culture and Traditions
99,4,6,20,Social Classes and Customs,"Beyond the small house-boat two men in characteristic crouching pose are plainly watching the ""foreign devils"" and commenting thereon in a foul sarcasm only possible among Chinese.",1,Culture and Traditions
100,4,6,20,Social Classes and Customs,"With us ""Time is money,"" with the Chinese time is of little account, but space is money.",1,Culture and Traditions
107,4,10,20,Social Classes and Customs,"Notice now a short distance over in the city an object which in other countries would be taken for a flag-pole, with an arrangement resembling the cross trees on a ship's mast.",2,Urban Development and Architecture
108,4,10,20,Social Classes and Customs,"It marks the residence of a mandarin, and it is often a convenience when travelling in China to know just where the mandarin, in a town or village, lives.",0,Social Structures and Inequality
146,7,6,20,Social Classes and Customs,"Should we go down and enter one of those stores, the doorway would soon be blocked by men and boys (not women, because very few are seen on the streets) who would stop and glower at us as we might stop and gaze curiously at a wild man from some strange land.",0,Social Structures and Inequality
147,7,6,20,Social Classes and Customs,"The shopkeeper would not importune us to buy, neither would he attempt to repel the gaping crowd that fills his doorway; he would stare at us himself, smoke his pipe and keep his seat in statuesque stolidity and scornful indifference, as much as to say: ""Not dependent on the patronage of foreign-devils.'""",1,Culture and Traditions
260,13,2,20,Social Classes and Customs,"Here we have a perfect example of the stupid, sullen, gazing crowd that assembles instantly wherever a foreigner halts for a moment; and this is not peculiar to Canton, but to every part of the country.",1,Culture and Traditions
261,13,2,20,Social Classes and Customs,"We are standing on the English bridge with our back to the island, and this strong iron gate is a barrier to prevent the natives from entering the foreign settlement.",0,Social Structures and Inequality
262,13,2,20,Social Classes and Customs,"It is closed securely at night, and during the day is guarded closely by native police, who permit Europeans to enter the native city and duly authorized Chinese to enter the foreign quarters.",0,Social Structures and Inequality
