,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
0,1,2,11,Geography and Topography,"We are on the upper deck of one of the many steamers that ride at anchor in the beautiful harbor of Hongkong, and there we see before us in the distance, at the base of that dark, green mountain side, the city of Victoria, generally called Hongkong, after the island on which it is situated.",0,Urban Landscapes
1,1,2,11,Geography and Topography,"We are looking southwest and the mainland lies on our right, distant only a mile or two, and which we shall soon see from the slope of the mountain in front of us.",1,Natural Landscapes
2,1,2,11,Geography and Topography,"A little to the left of the highest point of that somber elevation floats the English flag, that grand old symbol of our fatherland, on which, you know, the sun never sets.",3,Cultural Heritage
3,1,2,11,Geography and Topography,"To our left, the city skirts the base of the rugged mountain for several miles; and should we follow the winding and irregular coast line and complete a circuit of the island, it would require a journey of over thirty miles; and should we ascend that dark green slope by cable tramway or by winding shady path, a climb of two thousand feet would be rewarded by a panorama scarcely surpassed in the whole world.",1,Natural Landscapes
4,1,2,11,Geography and Topography,The summit of that mountain island is a maze of peaks and dells dotted everywhere with cozy villas of the wealthy who find there a cool and healthful retreat from the languishing summer heat of the city below.,1,Natural Landscapes
5,1,3,11,Geography and Topography,"Then by reference to the maps we can see that the great mass of China lies off to our right, stretching away for over two thousand miles.",1,Natural Landscapes
6,1,3,11,Geography and Topography,"Directly before us, six hundred miles distant, is French or Indo-China, and further in that direction is Siam and the Malay Peninsula, Singapore being nearly fifteen hundred miles away.",4,Political and Historical Context
7,1,3,11,Geography and Topography,"Luzon, the northernmost of the Philippine Islands, lies over six hundred miles sharply to our left.",1,Natural Landscapes
8,1,3,11,Geography and Topography,"Back of us is Formosa, about four hundred miles away, while Tokio, Japan, is one thousand miles beyond Formosa.",4,Political and Historical Context
9,1,3,11,Geography and Topography,San Francisco is nearly six thousand miles distant behind us and over our left shoulder.,0,Urban Landscapes
10,1,3,11,Geography and Topography,"Now, with a clearer sense of our location in this part of the earth, we will give further attention to this place immediately before us.",1,Natural Landscapes
21,1,9,11,Geography and Topography,"We shall go ashore in a sampan, most likely sculled by a Chinese mother with a babe tied at her back.",3,Cultural Heritage
22,1,9,11,Geography and Topography,We shall land near those same buildings and follow a well-paved street toward the mountain side.,0,Urban Landscapes
23,1,9,11,Geography and Topography,"The second street we pass, Queen's Road, the chief thoroughfare, is almost impassable at times, so full is it with darting jinrikishas and sedan chairs, borne by chair coolies.",2,Infrastructure and Transportation
24,1,9,11,Geography and Topography,"We ascend the mountain slope along beautiful walks and through botanical gardens embowered in every species of tropical palm and tree-fern, and past well kept lawns studded with bright flower beds, until we have reached an elevation of nearly a thousand feet somewhat farther to the left than we can see, when we turn about and from our elevated viewpoint look back in this direction upon the busiest and most beautiful harbor of the Orient.",1,Natural Landscapes
25,1,9,11,Geography and Topography,"This new position is given on the map of Hongkong and vicinity by the two red lines that branch north from the island, each having the number 2 at its end.",2,Infrastructure and Transportation
46,2,6,11,Geography and Topography,The native city of the same name is hidden among the low hills three miles distant and a little to our right.,0,Urban Landscapes
47,2,6,11,Geography and Topography,The native Kowloon is a typical old Chinese city of low onestory buildings with tile roofs and surrounded by a dilapidated brick wall.,0,Urban Landscapes
48,2,7,11,Geography and Topography,"but beyond are many fertile and well-cultivated valleys producing rice, sugar-cane, sweet potatoes, garden fruits and vegetables.",1,Natural Landscapes
49,2,7,11,Geography and Topography,"In some portions of this peninsula that curious nut or fruit, sometimes seen in our markets, called the lichee, is abundantly produced.",1,Natural Landscapes
50,2,7,11,Geography and Topography,"Along that mountain range to the left, distinctly visible from positions near us, is a long line of excavation that shows the beginning of a railroad that is to connect Hongkong and Canton.",2,Infrastructure and Transportation
62,2,12,11,Geography and Topography,"Let us turn to the special map of Canton, Map No. 4, where we find our position and field of vision shown by the red lines which start from near the river and branch toward the right.",0,Urban Landscapes
109,4,11,11,Geography and Topography,"We are here looking almost due north, and by following a northerly direction for several miles we shall find ourselves next standing on the northern side of the city and looking almost directly towards the spot we now occupy.",0,Urban Landscapes
110,4,11,11,Geography and Topography,The red lines starting from the number 5 near the top of Map No. 4 and toward the southeast show our position and field of vision.,4,Political and Historical Context
125,5,8,11,Geography and Topography,We must now turn our attention in the opposite direction; we shall step upon the wall and look northwest.,0,Urban Landscapes
223,10,6,11,Geography and Topography,Our position and field of vision are given by the lines connected with the number II on the lower left-hand corner of the Canton map.,2,Infrastructure and Transportation
224,11,2,11,Geography and Topography,"Here we are looking slightly north of west, toward the west end of an artificial island, built up of sand and called Shameen (sand).",0,Urban Landscapes
225,11,2,11,Geography and Topography,"It is about half a mile long, comprises the European Settlement, and is connected with the native city by two bridges.",0,Urban Landscapes
