,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
464,21,3,7,Fashion and Dress,"You are accustomed to see the former contracted beyond the normal condition, but not the latter; so we will enter a room at the hotel where you can see what has rarely been seen, the unwrapped, exposed small feet of a Chinese woman.",0,Chinese Social Hierarchy and Dress Codes
465,21,3,7,Fashion and Dress,"All the world has heard of these small feet, but very few, even of the missionaries who dwell in that land, have ever seen them.",0,Chinese Social Hierarchy and Dress Codes
920,40,3,7,Fashion and Dress,This official and his family are very richly attired; their garments are wholly of the richest silks and satins and elaborately wrought in the finest embroidery.,0,Chinese Social Hierarchy and Dress Codes
921,40,3,7,Fashion and Dress,"The styles do not change from year to year, as ours do; they can, therefore, provide themselves with the most costly dress without the necessity of a new supply with every change of fashion.",0,Chinese Social Hierarchy and Dress Codes
922,40,3,7,Fashion and Dress,"Fashions remain essentially the same for centuries, and garments are handed down from one generation to another, without being considered antiquated.",0,Chinese Social Hierarchy and Dress Codes
923,40,3,7,Fashion and Dress,In the outer tunics worn by this family notice the capacious sleeves; they are very full and often exquisitely embroidered.,0,Chinese Social Hierarchy and Dress Codes
924,40,3,7,Fashion and Dress,"In cold weather, instead of wearing mittens or gloves, the hands are drawn within the sleeves; and good breeding requires one to keep the hands in such a position as to properly display the sleeves.",0,Chinese Social Hierarchy and Dress Codes
925,40,3,7,Fashion and Dress,"You may understand from this why I did not require this mandarin to place his hands in a more graceful position; it would have been impertinence and bad manners; that is his way and it is right, according to his standard of good form.",0,Chinese Social Hierarchy and Dress Codes
926,40,3,7,Fashion and Dress,The underskirt is one of the prettiest parts of the female attire; it extends a foot below the outer garment and is beautifully embroidered.,0,Chinese Social Hierarchy and Dress Codes
927,40,3,7,Fashion and Dress,You cannot but observe the entire absence of collars or anything about the neck to impede freedom of movement and destroy comfort.,0,Chinese Social Hierarchy and Dress Codes
928,40,3,7,Fashion and Dress,"Probably the most important thing about the dress is that square piece of cloth on the front of the tunic, called by some writers a breastplate.",0,Chinese Social Hierarchy and Dress Codes
929,40,3,7,Fashion and Dress,"Sumptuary laws and laws of rank and dress are very comprehensive and specific, to the smallest detail, in China.",0,Chinese Social Hierarchy and Dress Codes
930,40,3,7,Fashion and Dress,"Houses must be made in a certain way for a certain rank, even to the most trifling detail.",0,Chinese Social Hierarchy and Dress Codes
931,40,3,7,Fashion and Dress,It is worth while to quote a few lines from Gray's excellent work on China in regard to these laws.,0,Chinese Social Hierarchy and Dress Codes
932,40,4,7,Fashion and Dress,"The ""The law distinctly states, with regard to the winter costume, that the hat to be worn shall be covered with dark satin and the inside lined with dark cloth.",0,Chinese Social Hierarchy and Dress Codes
933,40,4,7,Fashion and Dress,The apex must be adorned with a tassel of red silk so long and so thick as to cover the entire top.,0,Chinese Social Hierarchy and Dress Codes
934,40,4,7,Fashion and Dress,The top of a court hat for the winter season must be covered with red floss silk so long as to extend slightly over the brim.,0,Chinese Social Hierarchy and Dress Codes
935,40,4,7,Fashion and Dress,"The summer hat is to be made either of fine straw or of very thin strips of bamboo or rattan; the outside covered with very fine silk, with a tassel of red silk cord on the top.",0,Chinese Social Hierarchy and Dress Codes
936,40,4,7,Fashion and Dress,The court hat for summer is to resemble the ordinary summer hat in all particulars except the following: The rim must be covered with gold lace and the inside lined with red gauze.,0,Chinese Social Hierarchy and Dress Codes
937,40,4,7,Fashion and Dress,"In addition to the tassel, a button, indicating by its color the rank of the wearer, must be attached to the apex of each hat.",0,Chinese Social Hierarchy and Dress Codes
938,40,4,7,Fashion and Dress,"For example, the hat worn by a gentleman or officers of the first rank, is distinguished by a button of a bright red color on its apex.",0,Chinese Social Hierarchy and Dress Codes
939,40,4,7,Fashion and Dress,"A dark red button distinguishes the second rank; a dark blue button, the third rank; a light-blue button, the fourth rank; a crystal button, the fifth rank; a white button, the sixth rank; a gold button, the seventh or eighth rank; and a silver button, the ninth rank.",0,Chinese Social Hierarchy and Dress Codes
940,40,4,7,Fashion and Dress,"To the back of each hat is also attached a peacock's feather, which, in the case of a person of high rank, has two eyes, while persons of inferior rank are restricted to a feather which has only one eye.",0,Chinese Social Hierarchy and Dress Codes
941,40,4,7,Fashion and Dress,"On those so-called breastplates different emblems are used to designate the rank; birds are used for civil ranks, and animals for the military.",0,Chinese Social Hierarchy and Dress Codes
942,40,4,7,Fashion and Dress,"The uniform of the imperial soldiers has a cloth badge on the breast and on the back, giving the regimental designation.",0,Chinese Social Hierarchy and Dress Codes
943,40,4,7,Fashion and Dress,"Official gentlemen of the highest rank have the angelic stork on the breastplate; those of the second rank, the pheasant; of the third rank, the peacock; of the fourth rank, the wild goose; of the fifth, the silver pheasant; of the sixth, the cormorant; of the seventh, a bird called ki chik; of the eighth, the quail; of the ninth, a kind of white bird.",0,Chinese Social Hierarchy and Dress Codes
