,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
77,3,6,4,Daily Life and Occupations,A thatch of palm leaves or a cover of matting over a portion of each boat protects the occupants from sun and rain and serves as an eating and sleeping place.,2,Culture and Daily Life
78,3,6,4,Daily Life and Occupations,"We speak of limitation of space, as things ""in a nutshell,"" but here in the small compass of a fifteen-foot boat there are births, deaths and funerals there are henneries and pig-pens, and even flower-gardening, particularly on the larger boats, where considerable space in the bow is set apart for flower-pots.",2,Culture and Daily Life
81,3,8,4,Daily Life and Occupations,"One naturally wonders how this swarming population of river-dwellers is maintained, and the answer is chiefly by transporting merchandise and by carrying passengers from place to place.",1,Economy and Labor
82,3,8,4,Daily Life and Occupations,In some cases daughters go ashore to work in factories as girls do in other countries; but the factory girl's annual income in China would scarcely buy an American girl's hat.,1,Economy and Labor
104,4,8,4,Daily Life and Occupations,"Just before these flower-boats we have a good example of a small house-boat-its shape, its roof, and a projection over the stern, where, as I have already stated, are placed the pig-box and the hen-coop.",2,Culture and Daily Life
105,4,8,4,Daily Life and Occupations,"There is not much choice, however, for the porcine member in one case has more space, in the other better ventilation.",2,Culture and Daily Life
106,4,9,4,Daily Life and Occupations,"You see those garments hung out to dry on poles and near them, also on poles, objects that might be mistaken for sheepskins.",2,Culture and Daily Life
119,5,6,4,Daily Life and Occupations,"If by some power the real inwardness of all the social and industrial life in this panorama could be disclosed to us, what a marvelous scene we should behold!",1,Economy and Labor
120,5,6,4,Daily Life and Occupations,"There are palaces after a fashion; there are hospitals; there are arsenals; there are ancestral halls; there are prisons; there is the imperial mint; there is the execution ground where beheading is done; there are scores of markets, including a cat-market and a dog-market, where these domestic friends are sold for food.",0,Human Settlement and Infrastructure
121,5,6,4,Daily Life and Occupations,"There are seventeen thousand people engaged in silk weaving; and not in great factories, but in small dingy homes where handmade bamboo looms turn out the delicate fabrics with which our stores are filled, and those magnificent brocades which charm our fancies.",3,Traditional Arts and Crafts
122,5,6,4,Daily Life and Occupations,"There are fifty thousand people making cloth; and there are over four thousand shoemakers; there are great numbers of wood-carvers, stonecutters and workers in iron, brass, ivory and silver.",1,Economy and Labor
132,6,5,4,Daily Life and Occupations,"Let us now turn about, pass through the heart of the great city and look into one of the narrow congested thoroughfares.",0,Human Settlement and Infrastructure
139,7,4,4,Daily Life and Occupations,"A little farther along we can see another foot-bridge over this street, similar to the one on which we stand.",0,Human Settlement and Infrastructure
