,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_class,sentence_class_name
11,1,4,2,British Colonialism,"Hongkong is a British crown colony and was a ""voluntary"" cession from China made sixty years ago, in settlement of trade difficulties between the two countries which had extended over a period of two hundred years.",0,Colonialism and Imperialism
12,1,4,2,British Colonialism,"It is now the most important entrepot of the far East, with a native population of two hundred and fifty thousand and about twelve thousand Europeans.",0,Colonialism and Imperialism
26,2,2,2,British Colonialism,"Now we obtain our first sight of the main-land of China, but scarcely yet do we see Chinese territory, for all that portion of the mainland now within our view is under the British flag, England having in recent years leased for a period of ninety-nine years (which an Englishman knows means forever) a peninsula embracing many square miles of territory, and extending many miles beyond those rocky mountains.",0,Colonialism and Imperialism
27,2,2,2,British Colonialism,The military and naval defenses of Hongkong would be quite insecure unless England held adjacent lands on the mainland shore before us.,1,Geopolitics and International Relations
28,2,2,2,British Colonialism,To the right and to the left of those bold barren mountains are sheltered bays from which a foreign fleet with modern guns could hurl monstrous projectiles to the very spot on which we stand.,1,Geopolitics and International Relations
29,2,2,2,British Colonialism,"Mirs Bay, that memorable retreat of Admiral Dewey, when compelled by the enforcement of England's neutrality to leave the port of Hongkong, is only ten miles away, just behind those mountains to the right.",1,Geopolitics and International Relations
388,17,6,2,British Colonialism,"We have obtained a general view of European Shanghai along the river-front; have looked toward the French settlement, in which the streets have French names.",0,Colonialism and Imperialism
389,17,6,2,British Colonialism,"We have seen the American settlement, where the principal street is called Broadway and the leading hotel the Astor House; and now, as I promised to show you a street back from the river, a street in which, while in the European section, the shops and inhabitants are altogether Chinese, we will leave our elevated view-point over the Custom-house and enter Nankin Road, a cross-street which leads from the Bund through the heart of the English settlement.",2,Cultural Exchange and Social Impacts
390,18,2,2,British Colonialism,"Here we are looking nearly eastward and toward the Bund in a street which, although filled with Chinamen and lined with Chinese shops, is plainly not in a typical Chinese city.",2,Cultural Exchange and Social Impacts
391,18,2,2,British Colonialism,"The streets are broad, well macadamized and clean, very unlike the narrow, filthy lanes seen in any really Chinese city.",2,Cultural Exchange and Social Impacts
392,18,2,2,British Colonialism,Those chimneys in the distance to the right plainly tell that we have not gone far into the native quarter to gain a glimpse of the Chinese portion of the settlement.,0,Colonialism and Imperialism
395,18,4,2,British Colonialism,"Here, again, is the ""rikisha,"" showing its inward construction and suggesting a stunted survival of the ""Onehoss Shay.""",2,Cultural Exchange and Social Impacts
396,18,4,2,British Colonialism,Standing nearest us is one of England's Indian soldiers who aspires to live in art as a man of letters and has probably succeeded beyond his hopes when he halts for a moment before the camera.,0,Colonialism and Imperialism
397,18,4,2,British Colonialism,"Notice his costume, his khaki suit, his curious cap, his heavy shoes, and especially his leggings; they are such as are worn by all his Majesty's native troops in India, not buttoned nor laced at the side, but consisting of a continuous piece of cloth wrapped from the foot upward to the knee and fastened.",0,Colonialism and Imperialism
398,18,4,2,British Colonialism,A noteworthy physical feature of nearly all East Indian types is a deficiency of calves; but that cannot be regarded as an intellectual disparagement if it be true according to anthropologists that all human development is headwards; it is quite easy to believe on general principles that the less calf the more brain.,2,Cultural Exchange and Social Impacts
399,18,4,2,British Colonialism,"Notwithstanding this headward development theory, I am rather suspicious of the literary attainments of this Hindoo, as real scholars are not always fond of disporting literature.",2,Cultural Exchange and Social Impacts
442,20,6,2,British Colonialism,"On the same day this cadaverous-looking old Cassius accompanied me to the native city where he pretended that certain fees were required, a part of which, I am sure, he kept himself.",0,Colonialism and Imperialism
443,20,6,2,British Colonialism,"Later in the day he engaged to find a native woman who would allow her compressed feet to be photographed; he found one who would thus expose her feet for two dollars, as he said.",2,Cultural Exchange and Social Impacts
444,20,6,2,British Colonialism,"Thus at this tea-house was my ""pigeon squeezed ""for the third time in one day.",2,Cultural Exchange and Social Impacts
445,20,6,2,British Colonialism,"As we reached the street I entered a rikisha"" and said to my hungry old guide: ""You squeeze my pigeon three times, I squeeze your pigeon one time,"" and deducted from his pay three ""squeezes,"" and we parted.",2,Cultural Exchange and Social Impacts
849,37,13,2,British Colonialism,"After much wrangling and persuasion by a number of mandarinish flunkies, the crowd was pressed back and the door made fast.",0,Colonialism and Imperialism
850,37,13,2,British Colonialism,"Childs with his gun, accompanied our ""boy"" into the presence of His Excellency and stated the urgency of our case,—that there was no hotel; that there were plenty bad men outside; that our hong at Hankow ""makee"" buy plenty tea; these and numerous other necessitous lies induced the mandarin, after a full half-hour of talking, to allow us to sleep in an empty room.",0,Colonialism and Imperialism
851,37,13,2,British Colonialism,"We were too glad to be within walls to complain of a bed of hard boards, and after a midnight repast we stretched out upon our doors to await the strange disclosures of the coming dawn.",2,Cultural Exchange and Social Impacts
858,37,16,2,British Colonialism,"So we set our ""boy"" with the mandarin's servants at work to hire a group to go out with their baskets.",2,Cultural Exchange and Social Impacts
859,37,16,2,British Colonialism,"This we found to be difficult of accomplishment, because of the strange suspicions that seemed at once to fill the minds of the whole people.",2,Cultural Exchange and Social Impacts
860,37,16,2,British Colonialism,"After long persuasion and offering tempting straps of ""cash,"" a few girls were assembled for the field.",2,Cultural Exchange and Social Impacts
861,37,16,2,British Colonialism,"When that ""thing of evil,"" the camera, was brought out all was changed; the mandarin sneaked back into his quarters; the tea-pickers, one after another, gradually disappeared.",2,Cultural Exchange and Social Impacts
862,37,16,2,British Colonialism,"We left our guns in our room to lull fear and suspicion, but the camera was an omen of evil to be dreaded even more than our Martini-Henri rifle.",0,Colonialism and Imperialism
896,39,5,2,British Colonialism,"At last, in sheer desperation, we gathered our guns and traps together and commanded our ""boy"" to guide us out of the town on foot.",0,Colonialism and Imperialism
897,39,5,2,British Colonialism,"We had walked a mile, when our coolies, hearing that we had left them and afraid of forfeiting their pay, hurried on and overtook us.",0,Colonialism and Imperialism
898,39,5,2,British Colonialism,"We reached our boat about ten o'clock at night, weary and sorely out of favor with the Chinese Empire.",0,Colonialism and Imperialism
899,39,5,2,British Colonialism,"I still remember my companion's remark when he threw himself upon a bench in our little cabin; shrugging his bruised shoulder, he ejaculated, ""Ricalton, I commence to appreciate what stoning means.""",2,Cultural Exchange and Social Impacts
900,39,5,2,British Colonialism,"And true it is, our greetings in many places had been quite barbarous; yet it should be remembered that I have made fuller mention of our experience in the hostile villages, and it is but fair to state that we passed through several villages where the inhabitants were mild-mannered and kindly; upon the whole, though, I must say that, while I have been in most of the Oriental countries, I have never, in any place, barring, perhaps, some portions of the Mohammedan world, met with so much suspicion of and hostility to foreigners.",0,Colonialism and Imperialism
901,39,5,2,British Colonialism,"The annals of China, however, show us that such was not always the case; that previous to the reign of the present dynasty, which extends over a period of two hundred and fifty years, the sentiment of the people was favorable to foreigners; but the Manchu rulers, being jealous not only of foreign influence but of the Chinese themselves, inaugurated a period of exclusiveness toward everything which might hazard the permanency of their own reign.",1,Geopolitics and International Relations
1254,54,4,2,British Colonialism,Turn again on the map to the six lines which branch from one point near the river in the British Concession.,0,Colonialism and Imperialism
1255,54,4,2,British Colonialism,"Notice the uppermost line and the second one from it, each with the number 55 at its end on the map margin.",1,Geopolitics and International Relations
1442,66,6,2,British Colonialism,"The most famous man in China, the ablest statesman in Asia, the second richest man in the world and one of the most widely known characters in history, reached Tientsin later during my sojourn in China.",1,Geopolitics and International Relations
1443,66,6,2,British Colonialism,"The great intermediary between the throne of China and the foreigner, so often degraded and then reinstated, passed from south to north like a sidereal luminary that had wandered from its path, but was again to be restored to its true place in the heavens, or as peacemaker to the Imperial Court.",1,Geopolitics and International Relations
1470,67,10,2,British Colonialism,He favors progress and development; but how can he look with favor and equanimity upon foreign encroachment and the exploitation of his native land by nations whose customs and institutions he does not like.,0,Colonialism and Imperialism
1691,74,2,2,British Colonialism,"There are some things in this part of the city which you will not, I am sure, fail to recognize; you see far away that land-mark previously mentioned, that Coal Hill on which the last of the Mings hanged himself, and which has become famous in tradition and in history.",0,Colonialism and Imperialism
1692,74,2,2,British Colonialism,And you will verily not fail to recognize that ever-endeared emblem of liberty and of our country which floats out there over those trees and over China.,1,Geopolitics and International Relations
1693,74,2,2,British Colonialism,"The American flag was in great demand; everything in the way of an American flag was bought or secured in some way, and when the supply was exhausted the Chinese mothers and daughters ransacked their homes for bits of red, of white and of blue which they speedily sewed into a funny semblance of the American flag.",2,Cultural Exchange and Social Impacts
1694,74,2,2,British Colonialism,"They had soon learned that the Americans treated them with more consideration and fair play than some other of the nations; and that the Stars and Stripes meant, even to them, liberty and protection.",1,Geopolitics and International Relations
1841,83,5,2,British Colonialism,"One of the two, attired in dark silk garments, has probably gone to skirmish the advance members of our party, while another takes his place to complete the indispensable lucky number.",2,Cultural Exchange and Social Impacts
1842,83,5,2,British Colonialism,"Never before have they seen even the highest of their kindred, outside the royal family within these walls; now soldiers, civilians, photographers and all sorts of ""foreign devils"" are tramping through and desecrating the sacred grounds.",0,Colonialism and Imperialism
1843,83,5,2,British Colonialism,"What, then, must be the feelings of the Empress and the Emperor and Prince Tuan and other members whose mighty highness has been so long unapproachable and invisible, to see the despised Westerner in full control and peering into all the sacred nooks of their much-walled and inviolable asylum?",0,Colonialism and Imperialism
1844,83,5,2,British Colonialism,"They have been punished and humiliated before, but they soon regained ""face,"" i. e., prestige.",2,Cultural Exchange and Social Impacts
2120,99,3,2,British Colonialism,"The Chinese Government shall be bound to reform the Chinese Foreign Office and the court ceremonial for the reception of the foreign representatives, and to do so in the sense which shall be defined by the Foreign Powers.",1,Geopolitics and International Relations
