Agriculture and Farming,Architecture and Building,British Colonialism,Cemeteries and Burial Practices,Daily Life and Occupations,Education,Family and Social Structures,Fashion and Dress,Folk Festivals and Celebrations,Food and Diet,Gambling and Opium,Geography and Topography,Harbor and Waterways,Military and Naval Defenses,Missionary Work,Photography and Imaging,Plague and Disease,Prisoners and Punishment,Religion (Buddhism and Ancestor Worship),River Dwellers (Tankia),Social Classes and Customs,Tea Production and Trade,Trade and Commerce,Transportation,War and Conflict
0.0,1.192240617342577e-07,0.9990337761487984,0.0,1.0729066772796614e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9999943976015448,0.9999997615523455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384476545103098e-07,0.999555555188733,0.0
0.0,0.0,2.860843551943937e-06,0.0,2.384476545103098e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999992847883448,4.88733132308905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.192240617342577e-07,0.0
0.0,0.0,0.9999986887770048,3.815155876552012e-06,0.0,0.0,1.192051257703497e-06,0.0,0.0,0.0,0.0,0.0001412321666970362,1.192240617342577e-07,3.218546048677773e-06,0.0,3.57605976830655e-07,0.0,0.0,0.0,0.0,1.192240617342577e-07,0.0,0.0,0.0,2.9325322852602476e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999996423941084,0.0007154238005906421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999765177809861,0.0
0.0,0.0007661329278608742,0.0,0.0,8.344533100057561e-07,0.0,4.768950248035253e-07,0.0,0.0,0.0,0.0,0.999998569577201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997898975264415,0.0,0.0,0.0,0.0
0.0,0.0,1.7404604901405385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999995231047478,1.192240617342577e-07,1.192051257703497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.192240617342577e-07,0.0
0.0,0.0,0.9988574292762565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999986887770048,2.860843551943937e-06,5.00649341150794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0729066772796614e-06,5.960258064874324e-07,1.192240617342577e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999976158993602,1.192240617342577e-07,1.192240617342577e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999961848443508,3.57605976830655e-07,2.860843551943937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344533100057561e-07,5.960258064874324e-07
0.0,0.0,0.0,0.0,1.192240617342577e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999271671371303,1.192051257703497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4843807408924862,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999148950210192,2.860843551943937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9999997615523455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4570836574543407e-06,0.9999971391564481,0.0,0.0005722199145191675
0.0,0.0,0.4149219529754913,0.0,1.3112231088685533e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.264949380159642e-06,0.999869725465911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3975038059685936e-05,0.00011466818507155363,0.9999952318244132,1.4782057971451934e-05,0.0
0.0,0.9999685263470333,0.9073154160970133,0.0,0.9999971391564481,0.0,9.537902768697037e-07,0.0,0.0,0.0,0.0,0.9995414952505944,0.9999996423941084,0.0,0.0,0.0,0.0,0.0,0.0,1.1562366811213032e-05,0.999728155316972,0.0,0.9999738948123691,0.9999983310946448,0.0
0.0,1.4304229126738122e-06,6.079235556621931e-06,0.9999990462097231,1.3112231088685533e-06,0.0,1.9906660229551676e-05,0.0,0.0,0.0,0.0,0.9999988079489697,1.192240617342577e-07,1.192240617342577e-07,0.0,0.0,0.0,0.0,0.9995872473126008,0.0,0.0004444448114945265,0.0,0.0,0.0,0.0
